     frame       dist     d_dist
         0      1.048         NA
        80      1.250      0.202
        93      1.482      0.232
        99      1.669      0.187
       112      1.870      0.201
       123      2.070      0.200
       153      2.288      0.218
       174      2.496      0.208
       188      2.675      0.179
       202      2.871      0.196
       221      3.066      0.195
       240      3.270      0.204
       254      3.476      0.206
       267      3.667      0.191
       275      3.877      0.210
       295      4.068      0.191
       296      4.088      0.020
